,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
47070,The Cursed,"Im Jin Hee is a gung ho reporter, out to do the ring thing. She covers a violent case involving Forest, the biggest IT company in South Korea. The chairman of Forest is Jin Jong Hyun. He relies heavily on shamanism. During her investigation, Im Jin Hee learns of a spiritual consulting company that is affiliated with Forest. The head of that affiliate company is Jin Kyung. While trying to reveal the secret behind Forest, Im Jin Hee meets So Jin. She is possessed by a spirit and she has a special ability.",2020,TV-MA,62,"['scifi', 'drama', 'fantasy', 'thriller']",1.0,7.1,395.0,Uhm Ji-won,Lim Jin-hee,ACTOR
47081,Get Organized with The Home Edit,"Expert home organizers Clea and Joanna help celebrities and everyday clients edit, categorize and contain their clutter to create stunning spaces.",2020,TV-PG,42,['reality'],2.0,5.3,1454.0,Clea Shearer,Self - Host,ACTOR
47099,Sweet Magnolias,"Lifelong friends Maddie, Helen and Dana Sue lift each other as they juggle relationships, family and careers in the small, Southern town of Serenity.",2020,TV-14,50,"['drama', 'romance']",2.0,7.3,17435.0,JoAnna Garcia,Maddie Townsend,ACTOR
47153,Alice in Borderland,A group of bored delinquents are transported to a parallel dimension as part of a survival game.,2020,TV-MA,47,"['action', 'drama', 'scifi', 'thriller', 'fantasy']",2.0,7.6,47651.0,Kento Yamazaki,Ryōhei Arisu,ACTOR
47178,Raising Dion,A widowed single mom discovers that her son has super powers and tries to figure out how to raise him safely and responsibly.,2019,TV-G,43,"['scifi', 'drama']",2.0,7.1,14464.0,Alisha Wainwright,Nicole Warren,ACTOR
47209,Kingdom,"In this zombie thriller set in Korea's medieval Joseon dynasty which has been defeated by corruption and famine, a mysterious rumor of the king’s death spreads, as does a strange plague that renders the infected immune to death and hungry for flesh. The crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil scheme and save his people.",2019,TV-MA,48,"['action', 'thriller', 'drama', 'scifi', 'horror', 'history']",2.0,8.3,43760.0,Ju Ji-hoon,Crown Prince Chang,ACTOR
47231,Black Summer,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",2019,TV-MA,39,"['scifi', 'action', 'drama', 'horror', 'thriller']",2.0,6.5,28657.0,Jaime King,Rose,ACTOR
47241,The Promised Neverland,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage — a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family... never to be heard from again.

However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.",2019,TV-MA,23,"['scifi', 'action', 'thriller', 'drama', 'fantasy', 'horror', 'animation']",2.0,8.4,34730.0,Sumire Morohoshi,Emma (voice),ACTOR
47254,Dracula,"Transylvania, 1897. The blood-drinking Count Dracula is drawing his plans against Victorian London. And be warned: the dead travel fast.",2020,TV-MA,88,"['action', 'drama', 'fantasy', 'horror', 'thriller']",1.0,6.8,45971.0,Claes Bang,Dracula,ACTOR
47438,The Dark Crystal: Age of Resistance,"Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power and set out to ignite the fires of rebellion and save their world.",2019,TV-PG,51,"['scifi', 'drama', 'animation', 'fantasy', 'family', 'horror', 'action']",1.0,8.4,24164.0,Anya Taylor-Joy,Brea (voice),ACTOR
47461,When They See Us,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park.,2019,TV-MA,74,"['drama', 'history', 'crime']",1.0,8.9,114127.0,Jharrel Jerome,Korey Wise,ACTOR
47472,Cocomelon,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",2019,TV-PG,8,"['animation', 'comedy', 'family']",4.0,4.9,522.0,Kristen Princiotta,Mom,ACTOR
47473,Another Life,"After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact.",2019,TV-MA,42,"['scifi', 'thriller', 'drama']",2.0,5.2,35108.0,Katee Sackhoff,Niko Breckinridge,ACTOR
47483,Crash Landing on You,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide.",2019,,86,['drama'],1.0,,,Hyun Bin,Lee Jung-Hyeok,ACTOR
47506,Living with Yourself,"Burned out on life, Miles undergoes a strange procedure at a strip mall spa -- and wakes to find he's been replaced by a better version of himself.",2019,TV-MA,26,"['drama', 'comedy', 'scifi']",2.0,7.2,30134.0,Paul Rudd,Miles Elliot,ACTOR
47530,The Movies That Made Us,"Unwrap the real stories behind these iconic Christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks.",2019,TV-PG,47,"['history', 'documentation', 'family']",3.0,7.6,6147.0,Danny Wallace,Narrator (voice),ACTOR
47531,Giri/Haji,"A detective from Tokyo scours London for his missing brother, who's been involved with the Yakuza and accused of murder.",2019,TV-MA,58,"['thriller', 'crime', 'drama']",1.0,7.8,13570.0,Takehiro Hira,Kenzo Mori,ACTOR
47541,Don't F**k with Cats: Hunting an Internet Killer,A group of online justice seekers track down a guy who posted a video of him killing kittens.,2019,TV-MA,62,"['crime', 'documentation']",1.0,8.0,50250.0,Deanna Thompson,Herself / Baudi Moovan,ACTOR
47733,The Valhalla Murders,Police profiler Arnar is sent back home from Oslo to his native Iceland to investigate the country's first serial killer case. He teams up with the local senior cop Kata.,2019,TV-MA,46,"['thriller', 'crime', 'drama', 'scifi']",1.0,7.1,13038.0,Nína Dögg Filippusdóttir,Kata,ACTOR
47887,The Hateful Eight: Extended Version,"Trapped at a stagecoach stop as a storm rages outside, two bounty hunters and an outlaw face a gallery of rogues. Features never-before-seen footage.",2019,TV-MA,199,"['western', 'crime', 'thriller', 'drama']",1.0,,,Samuel L. Jackson,Major Marquis Warren,ACTOR
47899,Barbarians,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",2020,TV-MA,47,"['action', 'drama', 'history']",1.0,7.2,23180.0,Laurence Rupp,Arminius,ACTOR
47921,Marianne,"When a novelist realizes her terrifying stories are coming true, she returns to her hometown to face the demons from her past that inspire her writing.",2019,TV-MA,49,"['thriller', 'drama', 'horror']",1.0,7.4,14518.0,Victoire Du Bois,Emma,ACTOR
47929,The Haunting of Bly Manor,"After an au pair’s tragic death, Henry Wingrave hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the estate’s chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose. But all is not as it seems at the manor, and centuries of dark secrets of love and loss are waiting to be unearthed in this chilling tale.",2020,TV-MA,55,"['drama', 'scifi', 'thriller', 'horror']",1.0,7.3,96015.0,Victoria Pedretti,Dani Clayton,ACTOR
47939,"Roswell, New Mexico","After reluctantly returning to her tourist-trap hometown of Roswell, New Mexico, the daughter of undocumented immigrants discovers a shocking truth about her teenage crush who is now a police officer—he’s an alien who has kept his unearthly abilities hidden his entire life. She protects his secret as the two reconnect and begin to investigate his origins, but when a violent attack and long-standing government cover-up point to a greater alien presence on Earth, the politics of fear and hatred threaten to expose him and destroy their deepening romance.",2019,TV-14,42,"['scifi', 'drama', 'romance']",3.0,6.2,11928.0,Jeanine Mason,Liz Ortecho,ACTOR
47993,Hollywood,A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big — no matter the cost.,2020,TV-MA,50,"['drama', 'history']",1.0,7.5,35067.0,David Corenswet,Jack Castello,ACTOR
48004,The Midnight Gospel,"Traversing trippy worlds inside his universe simulator, Clancy the space caster explores existential questions about life, death and everything in between.",2020,TV-MA,25,['scifi'],1.0,,,Duncan Trussell,Clancy (voice),ACTOR
48047,Cursed,"In this fresh take on the Arthurian legend, teenager Nimue joins forces with mercenary Arthur on a quest to find Merlin and deliver an ancient sword.",2020,TV-MA,55,"['scifi', 'action', 'drama', 'fantasy']",1.0,5.8,29446.0,Katherine Langford,Nimue/Lady of the Lake,ACTOR
48116,To the Lake,A terrible plague strikes and a group decides to risk their lives. Humanity struggles to survive as they face the end of their civilization.,2019,TV-MA,43,"['scifi', 'thriller', 'drama']",2.0,7.2,12456.0,Kirill Käro,Sergey,ACTOR
48127,The Defeated,Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.,2020,TV-MA,54,"['drama', 'thriller']",1.0,7.0,5597.0,Taylor Kitsch,Max McLaughlin,ACTOR
48158,Conversations with a Killer: The Ted Bundy Tapes,"A unique look inside the mind of an infamous serial killer with this cinematic self-portrait crafted from statements made by Ted Bundy, including present-day interviews, archival footage and audio recordings from death row.",2019,TV-MA,59,"['crime', 'history', 'documentation']",1.0,7.8,27439.0,Ted Bundy,Self (archive footage),ACTOR
48203,I Am Not Okay with This,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.",2020,TV-MA,21,"['comedy', 'drama', 'fantasy', 'scifi']",1.0,7.5,56459.0,Sophia Lillis,Sydney Novak,ACTOR
48231,Unorthodox,A Hasidic Jewish woman in Brooklyn flees to Berlin from an arranged marriage and is taken in by a group of musicians -- until her past comes calling.,2020,TV-MA,54,['drama'],1.0,8.0,74118.0,Shira Haas,Esther Shapiro,ACTOR
48402,Warrior Nun,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns.",2020,TV-MA,43,"['scifi', 'action', 'drama', 'fantasy']",1.0,6.8,29164.0,Alba Baptista,Ava,ACTOR
48407,Ragnarok,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for Ragnarok -- unless someone intervenes in time.,2020,TV-MA,47,"['action', 'drama', 'fantasy', 'thriller', 'scifi']",2.0,7.5,36185.0,David Alexander Sjøholt,Magne,ACTOR
48415,The Order,"Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.",2019,TV-MA,48,"['scifi', 'horror', 'drama', 'fantasy', 'crime', 'thriller']",2.0,6.7,27286.0,Jake Manley,Jack Morton,ACTOR
48493,Love on the Spectrum,Seven singles take their first steps into the world of dating; this uplifting four-part documentary follows young adults on the autism spectrum as they explore the unpredictable world of love and relationships.,2019,TV-14,42,"['reality', 'documentation', 'romance']",2.0,8.6,5210.0,Brooke Satchwell,Herself - Narrator (voice),ACTOR
48576,Away,"American astronaut Emma Green must leave her husband and teenage daughter behind to command an international space crew embarking upon a treacherous mission. A series about hope, humanity and how we need one another if we are to achieve impossible things.",2020,TV-14,50,"['scifi', 'drama', 'romance']",1.0,6.6,23706.0,Hilary Swank,Emma Green,ACTOR
48589,The Pharmacist,"After his son's tragic death, a Louisiana pharmacist goes to extremes to expose the rampant corruption behind the opioid addiction crisis.",2020,TV-MA,54,"['crime', 'documentation']",1.0,7.7,6989.0,Dan Schneider,Self - Pharmacist,ACTOR
48620,Sweet Home,"As humans turn into savage monsters and wreak terror, one troubled teen and his apartment neighbors fight to survive — and to hold on to their humanity.",2020,TV-MA,52,['scifi'],1.0,,,Song Kang,Cha Hyun-su,ACTOR
48636,Ghost in the Shell: SAC_2045,"After a global financial crisis, the world is engulfed in an AI-driven ""sustainable war."" It's up to Section 9 to counter new forms of cyber threats.",2020,TV-14,25,"['scifi', 'animation', 'action', 'thriller', 'crime', 'drama']",2.0,6.2,2020.0,Atsuko Tanaka,Motoko Kusanagi (voice),ACTOR
48776,The Politician,Payton has known since childhood that he's going to be president. First he'll have to navigate the most treacherous political landscape: high school.,2019,TV-14,43,"['comedy', 'drama']",2.0,7.5,21887.0,Ben Platt,Payton Hobart,ACTOR
48787,The Society,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive.",2019,TV-MA,56,"['scifi', 'thriller', 'drama']",1.0,7.0,27693.0,Kathryn Newton,Allie Pressman,ACTOR
48802,The Untamed,"In a land dominated by the mighty Wen clan, a young man named Wei Wuxian strikes up an unconventional friendship with justice-loving Lan Wangji. When the duo unexpectedly stumbles across evidence implicating the Wen clan’s chief in a plot to bring mayhem to the inhabitants of their land, Wei Wuxian and Lan Wangji decide to intervene. However, the pair’s attempts to foil the Wen clan boss’s wicked plans go wrong. In the confusion that follows, Wei Wuxian disappears – with many fearing the worst for him. Sixteen years later, Wei Wuxian returns out of the blue. He is soon reunited with Lan Wangji, just as a spate of mysterious murders has broken out. The duo joins forces once more to investigate, determined not to fail this time… Can the pair get to the bottom of the intrigue? Will they solve the murder cases? And just who is the dastardly secret figure pulling the strings behind the evildoings now blighting the land?",2019,TV-14,44,"['action', 'comedy', 'romance', 'drama', 'fantasy', 'horror']",1.0,8.8,5963.0,Xiao Zhan,Wei Wuxian,ACTOR
